start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-26_16:12:16.894284,0.8639187812805176,3927,50,34,10,9841.442742912372,9841.442742912372,0.0,6567.506649284968,2900.0,111.91523439256639,4263.134874466295,0.0,28.000000000000004,72.0
2023-07-26_16:12:21.802721,1.0801684856414795,3927,50,34,10,9722.60470303618,9722.604703036137,0.0,5812.785305021758,2900.0,76.33549582594847,2900.6451017970926,0.0,48.0,52.0
2023-07-26_16:12:26.304496,0.6862950325012207,3927,50,34,10,9754.04239625258,9753.643877878701,4.085673997396142e-05,6459.780642479728,2700.0,128.98002487368072,3214.4612316605608,0.0,26.0,74.0
2023-07-26_16:12:31.077377,1.0036377906799316,3927,50,34,10,10374.111550012236,10373.82929843088,2.7207301559862126e-05,6134.7295961159025,3150.0,103.3507281841696,1488.3669487121003,0.0,34.0,66.0
2023-07-26_16:12:36.051415,1.1227762699127197,3927,50,34,15,9547.440335187417,9547.440335187417,0.0,5954.292333622523,2650.0,90.31953960341954,982.0886581769234,0.0,44.0,56.00000000000001
2023-07-26_16:12:42.253827,1.158155918121338,3927,50,34,15,12840.325516942805,12840.325516942792,0.0,8817.416569201989,3050.0,124.17143683483178,3060.8104647448135,0.0,28.000000000000004,72.0
2023-07-26_16:12:50.644861,3.295581102371216,3927,50,34,15,12639.790256124697,12639.550325946999,1.8982132838981652e-05,8177.61243130461,3000.0,178.50329277789675,2384.0680569634014,0.0,52.0,48.0
2023-07-26_16:12:57.045962,1.2658140659332275,3927,50,34,15,12437.907342315119,12437.907342315119,0.0,8282.911096310532,3050.0,162.43532734749215,2665.5413144124987,0.0,46.0,54.0
2023-07-26_16:13:03.550969,1.3625850677490234,3927,50,34,15,12039.285615177125,12039.285615177125,0.0,8126.869929915543,2900.0,130.87167074874995,1429.009194622227,0.0,52.0,48.0
2023-07-26_16:13:10.562310,1.8843140602111816,3927,50,34,20,12901.052800104104,12901.052800104104,0.0,8520.755353944192,3200.0,152.6938752852988,1458.9494914483478,0.0,42.0,57.99999999999999
2023-07-26_16:13:21.138534,4.117969989776611,3927,50,34,20,15423.772334416935,15423.772334416935,0.0,10741.179401503161,3100.0,236.46532492075994,4579.530470591213,0.0,46.0,54.0
2023-07-26_16:13:30.355564,2.625696897506714,3927,50,34,20,15714.924134600755,15714.924134600558,1.2500910211231092e-14,11255.8508358814,3550.0,219.08165428282143,1934.916689892576,0.0,28.000000000000004,72.0
2023-07-26_16:13:38.913619,1.9593315124511719,3927,50,34,20,14864.107808075725,14864.107808075725,0.0,10561.421066446524,3100.0,198.36436416455342,7458.305042844177,0.0,46.0,54.0
2023-07-26_16:13:47.325749,1.867933988571167,3927,50,34,20,15388.519550911202,15387.817613951054,4.561432682496176e-05,11149.103691544158,3000.0,169.33874176438778,2549.4681208104253,0.0,26.0,74.0
2023-07-26_16:13:56.381449,2.4356322288513184,3927,75,10,10,14716.089929185247,14716.089929185247,0.0,10869.245892248526,2700.0,213.5232019214948,3878.5339234788557,0.0,24.0,42.66666666666667
2023-07-26_16:14:01.689409,1.038649559020996,3927,75,10,10,15017.057159159956,15017.057159159956,0.0,9275.185262319565,4350.0,139.6146499993343,3450.7671929893286,0.0,29.333333333333332,70.66666666666667
2023-07-26_16:14:07.943294,2.0315253734588623,3927,75,10,10,14218.77187858917,14218.771878589032,9.722583346150568e-15,8924.315974691635,4250.0,171.0995369172954,3145.9737639428904,0.0,44.0,56.00000000000001
2023-07-26_16:14:13.578448,1.4842393398284912,3927,75,10,10,14292.713483599386,14292.71348359937,0.0,9207.703711567965,3900.0,137.7781298321021,1417.1549684183774,0.0,41.333333333333336,58.666666666666664
2023-07-26_16:14:19.261381,1.4853382110595703,3927,75,10,10,15074.222235528057,15074.098436583823,8.212625653250383e-06,9042.98840326285,4250.0,126.5921578215734,2930.997335557521,0.0,41.333333333333336,58.666666666666664
2023-07-26_16:14:26.824204,3.2969796657562256,3927,75,10,15,14312.944174923394,14312.944174923394,0.0,8375.03756575615,4400.0,153.19566110280394,3302.666056431318,0.0,58.666666666666664,41.333333333333336
2023-07-26_16:14:36.649106,4.124696254730225,3927,75,10,15,18172.8700304042,18171.396394799638,8.108986649307184e-05,11999.163446446186,4400.0,177.70028848565715,5057.783999783172,0.0,58.666666666666664,41.333333333333336
2023-07-26_16:14:45.397993,2.9281513690948486,3927,75,10,15,18447.099988276943,18446.84582636971,1.3777878766534973e-05,12449.618682440456,4450.0,166.6109959332322,3762.30166379394,0.0,44.0,56.00000000000001
2023-07-26_16:14:54.507808,3.2388837337493896,3927,75,10,15,19754.837921536822,19754.837921536822,0.0,12883.984861806706,4700.0,305.834902264417,4565.238790949144,0.0,32.0,68.0
2023-07-26_16:15:03.171819,2.846458911895752,3927,75,10,15,19119.174726324112,19119.174726324112,0.0,13014.609756169913,4350.0,240.97632770683862,3397.84262059493,0.0,34.66666666666667,65.33333333333333
2023-07-26_16:15:12.102899,3.0939462184906006,3927,75,10,20,18646.53549325097,18645.102390934015,7.685622444303521e-05,12838.159604296578,4550.00005766949,192.12960995227184,5676.204625298514,0.0,33.33333333333333,66.66666666666666
2023-07-26_16:15:22.772089,3.2905375957489014,3927,75,10,20,23813.809629336873,23813.809629336873,0.0,16844.652458407356,4900.0,385.0016852585012,3176.5141400990883,0.0,30.666666666666664,69.33333333333334
2023-07-26_16:15:34.331576,4.059657096862793,3927,75,10,20,24068.509255902718,24066.410993551384,8.717874169207618e-05,17047.319190219117,5099.999950131602,198.80315573808755,7849.170418995504,0.0,28.000000000000004,72.0
2023-07-26_16:15:55.042302,13.196749448776245,3927,75,10,20,21974.35016347632,21974.35016347632,0.0,15493.756017447371,4150.000000000003,317.8530947158051,5086.296415633239,0.0,54.666666666666664,45.33333333333333
2023-07-26_16:16:07.125092,4.58171820640564,3927,75,10,20,23157.665777610502,23157.282964192913,1.6530742833300567e-05,16204.295071580462,4650.0,286.36800727963833,8322.532574276656,0.0,37.333333333333336,62.66666666666667
2023-07-26_16:16:17.820891,3.1388206481933594,3927,75,20,10,23562.790843071787,23562.790843071787,0.0,16310.065198354596,4950.0,248.83613754208898,5273.294397595351,0.0,33.33333333333333,66.66666666666666
