start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,trans_costs_FTL,trans_costs_CES,trans_costs_LTL,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-28_19:18:26.765498,1.1758043766021729,3927,75,10,10,15227.637746793389,15227.637746793389,0.0,9748.12299091987,4200.0,132.7642476564332,1984.7455315022244,4.0388802523097585e-12,7067.580000000062,2680.5429909198047,0.0,30.666666666666664,69.33333333333334
2023-07-28_19:18:33.171064,1.9811973571777344,3927,75,10,10,15143.01417759565,15143.014177595518,8.768810812797562e-15,9757.209406318889,4450.0,152.27689462151815,2820.6190961548104,0.0,7067.170000000062,2690.039406318828,0.0,36.0,64.0
2023-07-28_19:18:44.457833,5.3948869705200195,3927,75,10,15,19218.191598967514,19218.191598967514,0.0,12039.37862268286,4849.999999999998,210.79223367283507,2820.544354738223,0.0,10603.010000358216,1436.368622324645,0.0,53.333333333333336,46.666666666666664
2023-07-28_19:18:53.469755,2.7443320751190186,3927,75,10,15,19655.166987168574,19654.252677490273,4.651752279173259e-05,13063.324446531007,5000.0,296.0976256046479,7026.251436615692,9.085176845169019e-12,10605.06000000017,2458.264446530828,0.0,30.666666666666664,69.33333333333334
2023-07-28_19:19:02.809223,3.1622724533081055,3927,75,10,15,18735.944192434537,18735.94419243408,2.4465558019683317e-14,12809.938791674504,4500.0,216.00613133609335,3985.5850477826634,0.0,10600.550000000172,2209.3887916743306,0.0,41.333333333333336,58.666666666666664
2023-07-28_19:19:13.312349,4.172688245773315,3927,75,10,15,19087.311853855692,19087.311853855692,0.0,12899.75161291142,4950.0,220.55152470828864,2511.1599166135625,0.0,10601.780000000172,2297.9716129112476,0.0,44.0,56.00000000000001
2023-07-28_19:19:22.591877,3.092679738998413,3927,75,10,15,20791.066406731075,20791.066406731075,0.0,12963.785036283569,5400.0,180.61275659390398,3037.167385443113,0.0,10605.47000000017,2358.315036283398,0.0,25.333333333333336,74.66666666666667
2023-07-28_19:19:33.425309,3.123920440673828,3927,75,10,20,23196.261446128454,23196.261446128454,0.0,16162.713963860668,4750.0,371.77469112496743,11244.852828368066,0.0,14141.72000000028,2020.9939638603876,0.0,34.66666666666667,65.33333333333333
2023-07-28_19:19:49.220269,7.784907817840576,3927,75,10,20,23736.48590913415,23736.48590913415,0.0,16428.344726854724,5250.0,173.1604704370444,6444.463395383692,0.0,14140.08000000028,2288.2647268544447,0.0,38.666666666666664,61.33333333333333
2023-07-28_19:20:00.862265,3.5550384521484375,3927,75,10,20,23095.096301139227,23095.096301139227,0.0,16810.471845378484,4799.999997631579,337.88092073877976,4185.820305001182,0.0,14139.67000000028,2670.8018453782056,0.0,33.33333333333333,66.66666666666666
2023-07-28_19:20:14.956111,6.187195539474487,3927,75,10,20,23505.8282382418,23505.8282382418,0.0,16059.15985023693,5150.0,251.81216781275637,1995.8611560929182,0.0,14135.980000000282,1923.1798502366485,0.0,41.333333333333336,58.666666666666664
2023-07-28_19:20:28.434681,5.448481798171997,3927,75,10,20,24012.324187823437,24011.41463915375,3.787841037675458e-05,16387.44146032172,5050.0,268.4732827757923,7702.007323275543,0.0,14140.90000000028,2246.541460321441,0.0,29.333333333333332,70.66666666666667
