start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-27_18:23:15.386499,0.9163455963134766,3927,25,34,15,6207.758095106228,6207.758095106228,0.0,4029.884479643577,1649.9999876586317,97.85822187536634,871.2262244938255,0.0,52.0,48.0
2023-07-27_18:23:19.196228,0.5901553630828857,3927,25,34,20,6559.32988229673,6559.32988229661,1.8302677680237393e-14,4516.81864198057,1450.0,74.1219333086888,3758.927104530194,0.0,16.0,84.0
2023-07-27_18:23:24.065845,0.9912147521972656,3927,25,34,20,7708.280894694235,7708.280894694235,0.0,5669.666476730091,1400.0,102.32450879106067,2043.448270919534,0.0,16.0,84.0
2023-07-27_18:23:30.417934,2.4081432819366455,3927,25,34,20,7218.1571195163,7218.15711951605,3.452426210174845e-14,5184.224777068609,1450.0,38.718524590627766,5082.0122827783225,0.0,60.0,40.0
2023-07-27_18:23:35.410868,0.983924388885498,3927,25,34,20,7945.02705039304,7945.027050392912,1.6026283792439824e-14,5675.2677715542,1600.0,83.13570641380146,1711.2372449941413,0.0,24.0,76.0
2023-07-27_18:23:40.728373,1.2112343311309814,3927,25,34,20,7157.574996419074,7157.180445193424,5.512358946249067e-05,5239.419887966078,1400.0000000000002,71.94420041942439,2021.839402508683,0.0,52.0,44.0
2023-07-27_18:23:46.146337,1.4634814262390137,3927,50,10,10,7543.358699239299,7543.358699239208,0.0,5701.051463767518,1449.9999544,95.93570440949846,2761.822967425637,0.0,16.0,34.0
2023-07-27_18:23:50.694910,1.2286195755004883,3927,50,10,10,9442.94496799657,9442.94496799657,0.0,6141.337107508505,2650.0,92.45848691660079,2400.7393651088973,0.0,38.0,62.0
2023-07-27_18:23:55.303532,1.343109369277954,3927,50,10,10,9445.18485261886,9445.18485261886,0.0,5744.101051434669,2799.9999789615727,186.37461131824762,1744.8722466019424,0.0,57.99999999999999,42.0
2023-07-27_18:23:59.260102,0.7100517749786377,3927,50,10,10,9460.833758393746,9460.833758393714,0.0,6376.567255566978,2800.0,112.26688117100755,764.1438438192289,0.0,34.0,66.0
2023-07-27_18:24:03.551290,0.9969890117645264,3927,50,10,10,10287.51415904489,10287.51415904489,0.0,6376.11114929245,3150.0,80.29744214318671,2312.432516238452,0.0,36.0,64.0
2023-07-27_18:24:08.181711,1.390080451965332,3927,50,10,15,9961.37994498928,9961.37994498928,0.0,5971.41238994824,3150.0,122.08514519197806,1029.1093898467182,0.0,44.0,56.00000000000001
2023-07-27_18:24:14.454578,1.9018559455871582,3927,50,10,15,12535.790266337814,12535.411412297632,3.022179153709271e-05,8227.333185597785,2950.0,180.54326054912465,3133.2383410359807,0.0,44.0,56.00000000000001
2023-07-27_18:24:21.830168,2.925889730453491,3927,50,10,15,12040.71389831716,12040.71389831716,0.0,8259.28204763143,3100.0,153.1704349109949,2151.814457221293,0.0,52.0,48.0
2023-07-27_18:24:28.221807,1.9736912250518799,3927,50,10,15,12472.110456356811,12471.729306715599,3.056015600137842e-05,8254.38036064977,2800.0,203.0956452709564,2034.8087482593764,0.0,30.0,70.0
2023-07-27_18:24:36.605534,3.9872069358825684,3927,50,10,15,11762.215023613879,11762.215023613879,0.0,7972.429018462164,2950.0,182.25528687733689,3804.275478889598,0.0,62.0,38.0
